Province_State,Country_Region,Date,ConfirmedCases,Fatalities,RecoveredCases
Thailand,Thailand,01/22/2020,2,0,0
Japan,Japan,01/22/2020,2,0,0
Singapore,Singapore,01/22/2020,0,0,0
Nepal,Nepal,01/22/2020,0,0,0
Malaysia,Malaysia,01/22/2020,0,0,0
British Columbia,Canada,01/22/2020,0,0,0
New South Wales,Australia,01/22/2020,0,0,0
Victoria,Australia,01/22/2020,0,0,0
Queensland,Australia,01/22/2020,0,0,0
Cambodia,Cambodia,01/22/2020,0,0,0
Sri Lanka,Sri Lanka,01/22/2020,0,0,0
Germany,Germany,01/22/2020,0,0,0
Finland,Finland,01/22/2020,0,0,0
United Arab Emirates,United Arab Emirates,01/22/2020,0,0,0
Philippines,Philippines,01/22/2020,0,0,0
India,India,01/22/2020,0,0,0
Italy,Italy,01/22/2020,0,0,0
Sweden,Sweden,01/22/2020,0,0,0
Spain,Spain,01/22/2020,0,0,0
South Australia,Australia,01/22/2020,0,0,0
Belgium,Belgium,01/22/2020,0,0,0
Egypt,Egypt,01/22/2020,0,0,0
From Diamond Princess,Australia,01/22/2020,0,0,0
Lebanon,Lebanon,01/22/2020,0,0,0
Iraq,Iraq,01/22/2020,0,0,0
Oman,Oman,01/22/2020,0,0,0
Afghanistan,Afghanistan,01/22/2020,0,0,0
Bahrain,Bahrain,01/22/2020,0,0,0
Kuwait,Kuwait,01/22/2020,0,0,0
Algeria,Algeria,01/22/2020,0,0,0
Croatia,Croatia,01/22/2020,0,0,0
Switzerland,Switzerland,01/22/2020,0,0,0
Austria,Austria,01/22/2020,0,0,0
Israel,Israel,01/22/2020,0,0,0
Pakistan,Pakistan,01/22/2020,0,0,0
Brazil,Brazil,01/22/2020,0,0,0
Georgia,Georgia,01/22/2020,0,0,0
Greece,Greece,01/22/2020,0,0,0
North Macedonia,North Macedonia,01/22/2020,0,0,0
Norway,Norway,01/22/2020,0,0,0
Romania,Romania,01/22/2020,0,0,0
Estonia,Estonia,01/22/2020,0,0,0
San Marino,San Marino,01/22/2020,0,0,0
Belarus,Belarus,01/22/2020,0,0,0
Iceland,Iceland,01/22/2020,0,0,0
Lithuania,Lithuania,01/22/2020,0,0,0
Mexico,Mexico,01/22/2020,0,0,0
New Zealand,New Zealand,01/22/2020,0,0,0
Nigeria,Nigeria,01/22/2020,0,0,0
Western Australia,Australia,01/22/2020,0,0,0
Ireland,Ireland,01/22/2020,0,0,0
Luxembourg,Luxembourg,01/22/2020,0,0,0
Monaco,Monaco,01/22/2020,0,0,0
Qatar,Qatar,01/22/2020,0,0,0
Ecuador,Ecuador,01/22/2020,0,0,0
Azerbaijan,Azerbaijan,01/22/2020,0,0,0
Armenia,Armenia,01/22/2020,0,0,0
Dominican Republic,Dominican Republic,01/22/2020,0,0,0
Indonesia,Indonesia,01/22/2020,0,0,0
Portugal,Portugal,01/22/2020,0,0,0
Andorra,Andorra,01/22/2020,0,0,0
Tasmania,Australia,01/22/2020,0,0,0
Latvia,Latvia,01/22/2020,0,0,0
Morocco,Morocco,01/22/2020,0,0,0
Saudi Arabia,Saudi Arabia,01/22/2020,0,0,0
Senegal,Senegal,01/22/2020,0,0,0
Argentina,Argentina,01/22/2020,0,0,0
Chile,Chile,01/22/2020,0,0,0
Jordan,Jordan,01/22/2020,0,0,0
Ukraine,Ukraine,01/22/2020,0,0,0
Hungary,Hungary,01/22/2020,0,0,0
Northern Territory,Australia,01/22/2020,0,0,0
Liechtenstein,Liechtenstein,01/22/2020,0,0,0
Poland,Poland,01/22/2020,0,0,0
Tunisia,Tunisia,01/22/2020,0,0,0
Bosnia and Herzegovina,Bosnia and Herzegovina,01/22/2020,0,0,0
Slovenia,Slovenia,01/22/2020,0,0,0
South Africa,South Africa,01/22/2020,0,0,0
Bhutan,Bhutan,01/22/2020,0,0,0
Cameroon,Cameroon,01/22/2020,0,0,0
Colombia,Colombia,01/22/2020,0,0,0
Costa Rica,Costa Rica,01/22/2020,0,0,0
Peru,Peru,01/22/2020,0,0,0
Serbia,Serbia,01/22/2020,0,0,0
Slovakia,Slovakia,01/22/2020,0,0,0
Togo,Togo,01/22/2020,0,0,0
Malta,Malta,01/22/2020,0,0,0
Martinique,Martinique,01/22/2020,0,0,0
Bulgaria,Bulgaria,01/22/2020,0,0,0
Maldives,Maldives,01/22/2020,0,0,0
Bangladesh,Bangladesh,01/22/2020,0,0,0
Paraguay,Paraguay,01/22/2020,0,0,0
Ontario,Canada,01/22/2020,0,0,0
Alberta,Canada,01/22/2020,0,0,0
Quebec,Canada,01/22/2020,0,0,0
Albania,Albania,01/22/2020,0,0,0
